Código,Nombre
0,Departamentos Varios
1,Petróleo y Derivados
2,Café
5,Antioquia
6,Z.F. Rionegro
7,Z.F. Barú Beach Resort
8,Atlántico
9,Z.F. Barranquilla
10,Z.F. Santa Marta
11,Santafé de Bogotá
12,Z.F. Bogotá
13,Bolívar
14,Z.F. Cartagena
15,Boyacá
17,Caldas
18,Caquetá
19,Cauca
20,Cesar
23,Córdoba
25,Cundinamarca
27,Chocó
31,Z.F. de Pozos Colorados
36,Z.F. Eurocaribe de Indias
41,Huila
44,La Guajira
47,Magdalena
50,Meta
52,Nariño
54,Norte de Santander
55,Z.F. de Cúcuta
63,Quindío
66,Risaralda
68,Santander
70,Sucre
73,Tolima
76,Valle del Cauca
77,Z.F. Palmaseca-Cali
78,Z.F. La Candelaria
79,Z.F. del Pacífico
80,Z.F. Buenaventura
81,Arauca
82,Z.F. Malambo
83,Z.F. Quindío (Armenia)
85,Casanare
86,Putumayo
88,San Andrés y Providencia
91,Amazonas
94,Guainía
95,Guaviare
97,Vaupés
99,Vichada
